duration;iterationCount;patternLength;textLength
1041;851;212;5135
1541;1219;387;5150
3458;2376;425;7478
8708;7495;1108;8559
1083;823;362;1416
6875;5694;2456;5229
10083;8428;1919;7380
8334;6677;3190;9305
4167;3170;1063;3922
24708;8011;3273;8169
19584;6469;2521;8419
4375;1267;420;2499
9459;2617;127;4756
31167;10793;1318;9661
9583;3578;1746;3842
10542;4380;2121;7357
25042;9300;2505;7099
22083;8088;2448;5924
3250;891;325;723
16917;5129;55;6136
26792;10307;3395;8700
4250;1513;546;2563
6167;3675;1011;7089
6958;5951;1904;9351
5833;3468;1539;3683
1667;986;271;1110
6459;6450;2748;6360
4791;3269;1077;2461
5166;3922;970;5562
9750;9076;3723;8478
4000;3838;1291;3182
2958;2564;649;2859
5625;5067;1451;3903
791;480;16;807
2750;2618;871;7655
2015750;8965;4129;8879
5459;685;47;1633
14333;2626;513;2326
10625;321;73;299
8625;2595;474;2485
10625;4446;2080;7759
7208;5727;1592;5264
750;163;38;215
3625;2646;959;5990
3125;2683;969;4487
9667;8501;2393;6682
1333;999;472;1052
4084;3299;101;3341
2416;1992;506;1800
6792;7143;2899;6642
1292;1001;146;962
3792;2964;52;4016
6791;6404;1651;6016
5250;4683;724;4642
4292;3978;932;5231
5875;5753;1864;7262
3458;3177;730;8239
1708;1560;601;6315
2250;1964;456;2322
7209;7145;2002;7301
7291;6337;1017;5471
4292;4430;1778;3987
2375;2370;803;2887
375;164;17;171
11958;11139;4177;8857
7584;5582;601;5288
3250;2229;926;6488
9083;7834;632;8346
5125;4984;1359;5417
9792;8193;656;8061
4792;4613;1507;9167
1083;826;167;1283
17416;5462;899;6644
5833;4681;2007;6214
25125;4973;1293;3985
12041;4076;935;4389
9458;7355;1136;7795
34750;7183;2000;5795
5416;4323;1016;3882
8000;6402;403;7886
1708;1223;330;4135
1750;1045;313;2547
1584;998;368;810
1458;862;174;846
792;583;205;420
6458;6287;2075;9027
5167;4532;1952;4565
3834;2010;471;2415
1875;724;191;600
4166;1953;324;8584
5958;4596;476;6995
7125;5625;1783;8053
10166;8221;1674;6894
9208;7725;3166;9015
791;364;112;881
2959;2176;441;2111
3042;1864;559;1485
10166;10033;3973;8520
7875;6925;3138;8333
6333;5313;2125;4364
750;453;215;627
1666;1414;657;2201
12208;10907;3662;8673
6166;3645;1703;4016
4709;3361;1032;3021
4083;2175;678;5189
4541;2812;338;3498
7750;1980;863;2690
2542;1295;58;2193
8750;6401;1247;5800
13333;8319;890;7847
3417;2087;20;3878
5250;4402;1986;5657
2125;2098;934;2323
5542;5618;2295;4869
11083;8527;494;9524
9208;7273;1357;6130
4084;3659;982;4759
2958;2537;892;9296
6792;5847;763;5277
10916;10046;2382;9177
2250;1241;447;4473
584;136;13;521
10667;8636;1926;7511
583;394;113;841
5000;3425;908;3721
11250;9555;3287;8838
3709;3278;1285;6705
5000;3747;1087;3650
6083;5408;2327;6492
5750;4775;417;4359
15083;3923;287;5444
7583;6511;3184;7848
3167;2490;857;1843
10208;9930;3705;9969
4083;685;36;4317
11084;8383;65;9476
8167;1894;566;1472
8167;7638;2638;5738
5750;4481;35;5012
8583;7702;2813;9169
3917;3792;1320;3726
458;169;36;331
3875;3557;713;3190
875;692;139;7025
12917;12690;4077;9638
9625;9058;2381;8693
10875;3816;1631;4447
18792;7602;3144;6902
9125;9471;4543;9097
4667;4347;2075;6108
7750;6478;1904;9535
875;550;181;4115
3958;3324;1052;3735
3000;3186;1419;4356
1000;698;56;630
1250;1052;228;2813
1334;991;167;931
5209;4782;1297;6733
5959;4232;537;3747
6875;6156;2303;7869
9292;9078;2840;8097
5209;2918;1177;2735
1583;1497;588;3355
4208;3492;523;5819
3542;3321;928;3061
8375;8423;3293;9868
9625;8974;2345;7972
6292;5133;449;6016
11250;10163;2674;8624
1834;1775;606;3109
5083;4517;1909;9489
15000;13832;4639;9400
2125;1944;904;3612
2042;2098;896;3033
5792;4943;772;8285
5208;5680;2639;9443
2208;1807;437;1496
8875;7255;62;9345
4667;3680;1148;2735
3875;2973;1349;2840
3042;2765;754;3160
4584;4950;2127;7870
8042;7063;612;6371
3208;3433;1403;3438
709;231;95;2306
2750;2307;312;2059
10208;5530;2512;6047
3125;2881;827;3238
4625;4028;1833;4348
2833;2267;70;4856
1500;491;134;2002
1792;1323;21;6538
4833;4459;1033;3799
7667;6842;2612;7593
2792;2629;858;2707
4542;3900;677;4599
6042;5226;2113;9548
11375;10956;3043;9899
1041;913;392;991
11208;10591;4174;9061
2541;2062;73;3571
8917;8432;3572;7859
3125;2244;1008;2787
9666;7896;515;7446
541;332;28;492
7125;6244;1121;6072
5167;4846;1210;6830
7833;7721;2441;6287
4416;4439;2113;5456
5667;4601;17;5325
1083;801;34;1565
7583;5639;1965;4133
2417;950;367;1638
16000;4961;1559;3298
3750;3048;255;2946
6042;4721;1816;4699
11583;3796;1480;3000
3042;2538;593;1964
2792;1745;753;3734
1583;708;332;757
3666;2402;127;3286
6292;4423;1383;3191
2959;2211;103;2307
2708;2338;421;2249
4792;4642;1486;3166
29042;9902;3230;6698
15458;5342;1170;5254
14084;5069;1114;5331
11625;3691;65;7033
11333;8233;1797;7442
6208;6220;2627;8434
16291;5338;2179;5616
12334;9706;2709;7229
3333;2554;191;2611
